Dates,Open Price,High Price,Low Price,Close Price
16-05-1983,164.9,164.9,162.33,163.4
17-05-1983,163.4,163.71,162.55,163.71
18-05-1983,163.73,165.18,163.16,163.27
19-05-1983,163.27,163.61,161.98,161.99
20-05-1983,161.97,163.09,160.3,162.14
23-05-1983,162.06,163.5,160.29,163.43
24-05-1983,163.45,165.59,163.45,165.54
25-05-1983,165.54,166.21,164.79,166.21
26-05-1983,166.22,166.39,165.27,165.48
27-05-1983,165.49,165.49,164.23,164.46
31-05-1983,164.44,164.44,162.12,162.39
01-06-1983,162.38,162.64,161.33,162.55
02-06-1983,162.56,164,162.56,163.98
03-06-1983,163.96,164.79,163.96,164.42
06-06-1983,164.43,165.09,163.75,164.83
07-06-1983,164.84,164.93,162.77,162.77
08-06-1983,162.78,162.78,161.35,161.36
09-06-1983,161.37,161.92,160.8,161.83
10-06-1983,161.86,162.76,161.86,162.68
13-06-1983,162.7,164.84,162.7,164.84
14-06-1983,164.87,165.93,164.87,165.53
15-06-1983,165.52,167.12,165.07,167.12
16-06-1983,167.11,169.38,167.11,169.14
17-06-1983,169.11,169.64,168.6,169.13
20-06-1983,169.13,170.1,168.59,169.02
21-06-1983,169.03,170.6,168.25,170.53
22-06-1983,170.53,171.6,170.42,170.99
23-06-1983,170.99,170.99,170.13,170.57
24-06-1983,170.57,170.69,170.03,170.4
27-06-1983,170.4,170.46,168.32,168.46
28-06-1983,168.45,168.81,165.67,165.68
29-06-1983,165.78,167.09,165.17,166.64
30-06-1983,167.64,168.12,166.64,168.11
01-07-1983,168.11,168.91,167.77,168.91
05-07-1983,166.55,168.8,165.8,166.6
06-07-1983,166.71,168.49,166.49,168.48
07-07-1983,168.48,169.15,167.46,167.56
08-07-1983,167.56,167.91,166.95,167.08
11-07-1983,167.09,168.11,167.09,168.11
12-07-1983,168.05,168.05,165.51,165.53
13-07-1983,165,165.68,164.77,165.46
14-07-1983,165.61,166.9,165.46,166.01
15-07-1983,166.01,166.04,164.03,164.29
18-07-1983,164.28,164.29,163.3,163.95
19-07-1983,163.95,165.18,163.95,164.83
